year,sex,rank,name,size,perc,total_size,total_perc
2012,F,1,Sophia,473,1.1,473,1.1
1982,M,17,Nicholas,473,1.331044575,11719,32.9778253
2001,M,3,Ethan,470,1.157093971,1592,3.919348088
1997,M,10,Nicholas,470,1.17409008,5516,13.77932103
1995,M,14,Ryan,470,1.197208212,7958,20.27102756
1986,M,17,John,470,1.322490785,11061,31.1235544
1992,M,17,James,469,1.138847069,10600,25.73940071
1990,M,18,Anthony,469,1.153467782,11943,29.37284801
1998,M,7,Tyler,468,1.145598747,3929,9.617644179
1995,M,15,Kyle,468,1.192113709,8426,21.46314127
1991,F,6,Emily,468,1.198463508,3942,10.09475032
2006,M,2,Alexander,467,1.048589905,959,2.153314173
1999,M,5,Matthew,467,1.143962962,2711,6.640864219
1981,M,18,Brandon,466,1.302148825,12374,34.57680163
1985,M,16,Justin,465,1.29717968,10943,30.52696181
2007,M,3,Alexander,464,1.015361723,1456,3.186135061
2006,M,3,Ethan,464,1.041853781,1423,3.195167954
1996,F,2,Sarah,464,1.225503143,1000,2.641170567
1990,F,6,Samantha,464,1.196400485,3958,10.20550241
1989,M,16,Robert,464,1.201636712,10618,27.49779873
1983,F,5,Ashley,464,1.392180984,3565,10.69639053
2008,M,1,Ethan,463,1.004578099,463,1.004578099
1992,M,18,Cody,463,1.124277597,11063,26.86367831
1988,M,17,Robert,463,1.245762256,11045,29.71802185
2013,M,1,Liam,462,1,462,1
1999,M,6,Alexander,462,1.131714965,3173,7.772579184
2004,F,2,Emily,461,1.163876897,947,2.390870762
1999,M,7,Austin,461,1.129265365,3634,8.901844549
1995,F,3,Ashley,461,1.213732821,1513,3.983465852
2004,M,3,Andrew,460,1.092506828,1476,3.50552191
1991,F,7,Kayla,460,1.177976953,4402,11.27272727
1998,M,8,Daniel,459,1.123568002,4388,10.74121218
1994,F,5,Samantha,459,1.214382094,2695,7.130195518
2001,F,2,Madison,458,1.176772867,972,2.497430627
1993,M,18,Joseph,458,1.137492549,10476,26.01827936
1987,M,15,Tyler,458,1.267223729,10116,27.98959659
1998,M,9,Ryan,457,1.11867228,4845,11.85988446
1997,F,2,Hannah,457,1.199160325,1106,2.902125426
1984,F,6,Stephanie,457,1.363446506,3911,11.6683573
2012,F,2,Emma,456,1.1,929,2.2
1989,F,6,Samantha,456,1.235839341,4091,11.08732181
2009,F,1,Isabella,455,1.04480011,455,1.04480011
1999,M,8,Tyler,455,1.114567768,4089,10.01641232
1987,M,16,Joseph,454,1.256156273,10570,29.24575286
1983,F,6,Nicole,454,1.362177083,4019,12.05856761
2011,F,1,Sophia,453,1.1,453,1.1
2008,M,2,Jacob,453,0.982880948,916,1.987459047
1996,F,3,Jessica,453,1.196450267,1453,3.837620834
1980,F,6,Heather,453,1.373518086,3935,11.93111185
1998,F,3,Madison,451,1.162760719,1527,3.93688607
1991,M,19,Justin,450,1.100379019,11982,29.29942536
2013,F,1,Emma,449,1.074728326,449,1.074728326
1991,M,20,Cody,449,1.097933733,12431,30.39735909
2009,M,1,Alexander,448,1,448,1
2005,M,2,Ethan,448,1.058376054,935,2.208887524
1993,F,6,Amanda,448,1.163545698,3299,8.56816352
1983,M,19,Kyle,448,1.267326733,12897,36.48373409
1996,M,11,Christopher,447,1.117220695,6178,15.44113972
1989,M,17,Zachary,447,1.157611229,11065,28.65540995
1987,M,17,Jacob,447,1.236788224,11017,30.48254109
1985,F,7,Stephanie,447,1.300590649,4659,13.55582065
2011,M,1,Mason,446,1,446,1
2000,M,7,Matthew,445,1.070432022,3574,8.597132686
1995,M,16,Joseph,445,1.133526924,8871,22.5966682
1986,M,18,Tyler,445,1.25214553,11506,32.37569994
1992,M,19,Jordan,443,1.07571269,11506,27.939391
1990,M,19,Brandon,443,1.089522873,12386,30.46237088
1988,F,6,Stephanie,443,1.253182461,4153,11.74823197
1986,M,19,Brian,443,1.24651791,11949,33.62221785
1983,F,7,Stephanie,443,1.329172793,4462,13.38774041
2008,M,3,Alexander,442,0.959014082,1358,2.946473128
2001,M,4,Michael,442,1.088160713,2034,5.007508801
1997,M,11,Brandon,442,1.104144288,5958,14.88346531
1994,M,17,Joseph,442,1.117064294,9678,24.45915892
1991,M,21,Anthony,442,1.080816726,12873,31.47817582
1990,M,20,Alexander,442,1.087063453,12828,31.54943433
1982,F,6,Nicole,442,1.301799546,4048,11.92236327
1981,M,19,Adam,442,1.235085366,12816,35.811887
2000,F,3,Madison,441,1.118466104,1509,3.827132314
1997,F,3,Jessica,441,1.157176594,1547,4.059302021
1996,M,12,Alexander,441,1.102224444,6619,16.54336416
1983,F,8,Melissa,441,1.323172012,4903,14.71091242
1999,M,9,Ryan,440,1.077823776,4529,11.09423609
1987,M,18,John,440,1.217420176,11457,31.69996126
1985,M,17,Tyler,440,1.227438837,11383,31.75440065
1984,F,7,Nicole,440,1.31272749,4351,12.98108479
2007,F,1,Olivia,439,1.015662957,439,1.015662957
1996,M,13,Daniel,439,1.097225694,7058,17.64058985
2012,F,3,Olivia,438,1,"1,367",3.2
2001,F,3,Hannah,438,1.125385406,1410,3.622816033
1990,M,21,Robert,438,1.077225775,13266,32.62666011
1988,F,7,Nicole,437,1.236209335,4590,12.9844413
2000,M,8,Daniel,436,1.048782835,4010,9.64591552
